nohup: ignoring input

========================= ROUND 1 =========================
Target: 200000 IDs
-> Batch progress: 43400/200000 | Success: 40865
-> Batch progress: 43500/200000 | Success: 40960
-> Batch progress: 43600/200000 | Success: 41058
-> Batch progress: 43700/200000 | Success: 41155
-> Batch progress: 43800/200000 | Success: 41254
-> Batch progress: 43900/200000 | Success: 41350
-> Batch progress: 44000/200000 | Success: 41447
-> Batch progress: 44100/200000 | Success: 41543
-> Batch progress: 44200/200000 | Success: 41637
-> Batch progress: 44300/200000 | Success: 41733
-> Batch progress: 44400/200000 | Success: 41828
-> Batch progress: 44500/200000 | Success: 41927
-> Batch progress: 44600/200000 | Success: 42025
-> Batch progress: 44700/200000 | Success: 42123
-> Batch progress: 44800/200000 | Success: 42222
-> Batch progress: 44900/200000 | Success: 42322
-> Batch progress: 45000/200000 | Success: 42419
-> Batch progress: 45100/200000 | Success: 42519
-> Batch progress: 45200/200000 | Success: 42617
-> Batch progress: 45300/200000 | Success: 42716
-> Batch progress: 45400/200000 | Success: 42815
-> Batch progress: 45500/200000 | Success: 42911
-> Batch progress: 45600/200000 | Success: 43004
-> Batch progress: 45700/200000 | Success: 43101
-> Batch progress: 45800/200000 | Success: 43199
-> Batch progress: 45900/200000 | Success: 43284
-> Batch progress: 46000/200000 | Success: 43384
-> Batch progress: 46100/200000 | Success: 43477
-> Batch progress: 46200/200000 | Success: 43569
-> Batch progress: 46300/200000 | Success: 43656
-> Batch progress: 46400/200000 | Success: 43738
-> Batch progress: 46500/200000 | Success: 43830
-> Batch progress: 46600/200000 | Success: 43911
-> Batch progress: 46700/200000 | Success: 44004
-> Batch progress: 46800/200000 | Success: 44103
-> Batch progress: 46900/200000 | Success: 44194
-> Batch progress: 47000/200000 | Success: 44281
-> Batch progress: 47100/200000 | Success: 44378
-> Batch progress: 47200/200000 | Success: 44466
-> Batch progress: 47300/200000 | Success: 44558
-> Batch progress: 47400/200000 | Success: 44650
-> Batch progress: 47500/200000 | Success: 44738
-> Batch progress: 47600/200000 | Success: 44832
-> Batch progress: 47700/200000 | Success: 44914
-> Batch progress: 47800/200000 | Success: 45001
-> Batch progress: 47900/200000 | Success: 45087
-> Batch progress: 48000/200000 | Success: 45181
-> Batch progress: 48100/200000 | Success: 45276
-> Batch progress: 48200/200000 | Success: 45375
-> Batch progress: 48300/200000 | Success: 45470
-> Batch progress: 48400/200000 | Success: 45568
-> Batch progress: 48500/200000 | Success: 45666
-> Batch progress: 48600/200000 | Success: 45763
-> Batch progress: 48700/200000 | Success: 45862
-> Batch progress: 48800/200000 | Success: 45959
-> Batch progress: 48900/200000 | Success: 46055
-> Batch progress: 49000/200000 | Success: 46155
-> Batch progress: 49100/200000 | Success: 46253
-> Batch progress: 49200/200000 | Success: 46351
-> Batch progress: 49300/200000 | Success: 46448
-> Batch progress: 49400/200000 | Success: 46548
-> Batch progress: 49500/200000 | Success: 46648
-> Batch progress: 49600/200000 | Success: 46747
-> Batch progress: 49700/200000 | Success: 46847
-> Batch progress: 49800/200000 | Success: 46945
-> Batch progress: 49900/200000 | Success: 47045
-> Batch progress: 50000/200000 | Success: 47144
-> Batch progress: 50100/200000 | Success: 47244
-> Batch progress: 50200/200000 | Success: 47341
-> Batch progress: 50300/200000 | Success: 47440
-> Batch progress: 50400/200000 | Success: 47537
-> Batch progress: 50500/200000 | Success: 47632
-> Batch progress: 50600/200000 | Success: 47730
-> Batch progress: 50700/200000 | Success: 47828
-> Batch progress: 50800/200000 | Success: 47924
-> Batch progress: 50900/200000 | Success: 48021
-> Batch progress: 51000/200000 | Success: 48115
-> Batch progress: 51100/200000 | Success: 48202
-> Batch progress: 51200/200000 | Success: 48296
-> Batch progress: 51300/200000 | Success: 48389
-> Batch progress: 51400/200000 | Success: 48476
-> Batch progress: 51500/200000 | Success: 48565
-> Batch progress: 51600/200000 | Success: 48650
-> Batch progress: 51700/200000 | Success: 48732
-> Batch progress: 51800/200000 | Success: 48814
-> Batch progress: 51900/200000 | Success: 48904
-> Batch progress: 52000/200000 | Success: 49004
-> Batch progress: 52100/200000 | Success: 49103
-> Batch progress: 52200/200000 | Success: 49202
-> Batch progress: 52300/200000 | Success: 49301
-> Batch progress: 52400/200000 | Success: 49395
-> Batch progress: 52500/200000 | Success: 49489
-> Batch progress: 52600/200000 | Success: 49584
-> Batch progress: 52700/200000 | Success: 49681
-> Batch progress: 52800/200000 | Success: 49776
-> Batch progress: 52900/200000 | Success: 49874
-> Batch progress: 53000/200000 | Success: 49970
-> Batch progress: 53100/200000 | Success: 50066
-> Batch progress: 53200/200000 | Success: 50164
-> Batch progress: 53300/200000 | Success: 50262
-> Batch progress: 53400/200000 | Success: 50356
-> Batch progress: 53500/200000 | Success: 50451
-> Batch progress: 53600/200000 | Success: 50545
-> Batch progress: 53700/200000 | Success: 50637
-> Batch progress: 53800/200000 | Success: 50730
-> Batch progress: 53900/200000 | Success: 50823
-> Batch progress: 54000/200000 | Success: 50918
-> Batch progress: 54100/200000 | Success: 51016
-> Batch progress: 54200/200000 | Success: 51111
-> Batch progress: 54300/200000 | Success: 51210
-> Batch progress: 54400/200000 | Success: 51309
-> Batch progress: 54500/200000 | Success: 51406
-> Batch progress: 54600/200000 | Success: 51506
-> Batch progress: 54700/200000 | Success: 51601
-> Batch progress: 54800/200000 | Success: 51697
-> Batch progress: 54900/200000 | Success: 51792
-> Batch progress: 55000/200000 | Success: 51887
-> Batch progress: 55100/200000 | Success: 51984
-> Batch progress: 55200/200000 | Success: 52081
-> Batch progress: 55300/200000 | Success: 52181
-> Batch progress: 55400/200000 | Success: 52280
-> Batch progress: 55500/200000 | Success: 52379
-> Batch progress: 55600/200000 | Success: 52479
-> Batch progress: 55700/200000 | Success: 52577
-> Batch progress: 55800/200000 | Success: 52667
-> Batch progress: 55900/200000 | Success: 52763
-> Batch progress: 56000/200000 | Success: 52859
-> Batch progress: 56100/200000 | Success: 52952
-> Batch progress: 56200/200000 | Success: 53043
-> Batch progress: 56300/200000 | Success: 53136
-> Batch progress: 56400/200000 | Success: 53226
-> Batch progress: 56500/200000 | Success: 53308
-> Batch progress: 56600/200000 | Success: 53407
-> Batch progress: 56700/200000 | Success: 53505
-> Batch progress: 56800/200000 | Success: 53602
-> Batch progress: 56900/200000 | Success: 53701
-> Batch progress: 57000/200000 | Success: 53800
-> Batch progress: 57100/200000 | Success: 53899
-> Batch progress: 57200/200000 | Success: 53998
-> Batch progress: 57300/200000 | Success: 54098
-> Batch progress: 57400/200000 | Success: 54194
-> Batch progress: 57500/200000 | Success: 54294
-> Batch progress: 57600/200000 | Success: 54394
-> Batch progress: 57700/200000 | Success: 54493
-> Batch progress: 57800/200000 | Success: 54591
-> Batch progress: 57900/200000 | Success: 54689
-> Batch progress: 58000/200000 | Success: 54784
-> Batch progress: 58100/200000 | Success: 54881
-> Batch progress: 58200/200000 | Success: 54974
-> Batch progress: 58300/200000 | Success: 55073
-> Batch progress: 58400/200000 | Success: 55169
-> Batch progress: 58500/200000 | Success: 55267
-> Batch progress: 58600/200000 | Success: 55363
-> Batch progress: 58700/200000 | Success: 55462
-> Batch progress: 58800/200000 | Success: 55562
-> Batch progress: 58900/200000 | Success: 55656
-> Batch progress: 59000/200000 | Success: 55754
-> Batch progress: 59100/200000 | Success: 55854
-> Batch progress: 59200/200000 | Success: 55954
-> Batch progress: 59300/200000 | Success: 56042
-> Batch progress: 59400/200000 | Success: 56140
-> Batch progress: 59500/200000 | Success: 56235
-> Batch progress: 59600/200000 | Success: 56329
-> Batch progress: 59700/200000 | Success: 56414
-> Batch progress: 59800/200000 | Success: 56504
-> Batch progress: 59900/200000 | Success: 56591
-> Batch progress: 60000/200000 | Success: 56684
-> Batch progress: 60100/200000 | Success: 56772
